postCompany,text,numShares,numLikes,numComments,real_time,extracted_comments
getwriter,"Leadership is evolving, and yesterday’s workplaces no longer suffice — it’s time to rewrite the rules. 

Join Writer CEO May Habib at #WEF25 for a distinguished panel including Deloitte Deputy CEO Stacy Janiak, Jennifer Daniell Belissent, PhD of Snowflake, and the one and only Shelley Zalis of The Female Quotient. ✨ 

Their session on #AIForGood will be in the #EqualityLounge at Davos on Monday at 1:30pm CET, and will also be live-streamed on The Female Quotient's social handles. 

View the full agenda here: https://lnkd.in/g-G5GfhM",0,2,1,2025-01-19 08:58:18.786,['May Habib I would love to chat about having you join us at FIF Collective 👸']
getwriter,"AI is at a pivotal moment: Deployment cannot wait, but TRUST is essential for success.

As the countdown to Davos and #WEF25 continues, Writer CEO May Habib examines how trust is the cornerstone of successful AI adoption at scale. We've worked with hundreds of enterprises and have identified five levers as a blueprint for building scalable, responsible AI.

1️⃣ Transparency
2️⃣ Reliability
3️⃣ Alignment
4️⃣ Privacy and security
5️⃣ Fairness 

🔗 Check out the full story and let us know your thoughts below: https://lnkd.in/gb3KBphE",1,22,0,2025-01-18 16:25:31.059,[]
getwriter,"💡One high-impact use case — that’s all it takes to spark AI transformation in an organization. And savvy brands have figured out that PDP (Product Detail Page) workflows are a fast path to real ROI from their generative AI investments 📈

Discover how #AI can support the end-to-end PDP process and drive measurable value — join our first-ever CPG office hours live on January 28.

✅ Create and manage PDPs with less manual labor
✅ Reduce agency spend

Reserve your spot today: https://hubs.ly/Q032Y0ms0
If you can’t make it, register anyway and we’ll send you the recording!",5,28,0,2025-01-17 16:04:12.369,[]
getwriter,"""Building an AI-first workforce will require a deliberate, top-down shift across the entire organization. Leaders need to embrace change, challenge outdated processes, and invest time and resources to help employees thrive.""

May is one of the World Economic Forum's Young Global Leaders, and she was asked by TIME Magazine to share a transformative idea for 2025 in the leadup to #WEF25.

May's thoughts on AI literacy are so important in today's conversations about generative AI and jobs.

At Writer, we believe this is the year we can prove that with the right systems and tools, anyone can be an AI builder, and that embracing this mindset will create a more creative, inspired way of working. 🧠 🎨 

Read here full article here 👉 https://lnkd.in/e_kxe2e6",0,11,0,2025-01-16 23:15:01.060,[]
getwriter,"May Habib, CEO & Co-Founder of Writer, sits down with Nasdaq's Kristina Ayanian to discuss the company's mission to build AI that puts human potential and flourishing at the core.

For more: https://lnkd.in/gPvzGymZ",6,160,2,2025-01-16 21:23:34.888,"['Brilliant as always', 'wonderful to chat with you Kristina Ayanian! ']"
getwriter,"📍World Economic Forum | Davos, Switzerland 

✨ May and our Chief Strategy Officer Kevin Chung will be representing Writer at the World Economic Forum in Davos next week! Here's our lineup of sessions:

🗓️ Date: 20 January  ⏰ Time: 1:30pm CET
* The Female Quotient: Algorithm for equality: AI for good - Leveraging AI to address global challenges
* Speakers
🔹 May Habib, CEO, Writer
🔹 Stacy Janiak, Deputy CEO, Deloitte
🔹 Shelley Zalis, CEO, The Female Quotient (moderator)
🔗 Registration: https://lnkd.in/g-G5GfhM
 
🗓️ Date: 21 January  ⏰ Time: 10:55am CET
* Axios: Fireside chat with May Habib
* Speakers
🔹 May Habib, CEO, Writer
🔹 Alison Snyder, Managing Editor, Axios (moderator)
🔗 Registration: https://lnkd.in/g6Uqu_-Z
 
🗓️ Date: 21 January  ⏰ Time: 12:00pm CET
* Kearney panel: How ready are CEOs to lead a truly AI-powered organization?
* Speakers
🔹 May Habib, CEO, Writer
🔹 Bharat Kapoor, Partner, Kearney (moderator)
🔹 Christina Crawford Kosmowski, CEO, LogicMonitor
🔹 Daniel Newman, CEO, The Futurum Group
🔹 Michael Römer, Partner, Kearney (moderator)
🔹 Åsa Tamsons, SVP and Head of Business Area Enterprise Wireless Solutions, Ericsson
🔗 Registration: https://lnkd.in/gJaEfZxE

Learn more about Writer at #WEF25: https://lnkd.in/gKGsEDQX 

#enterpriseAI #generativeAI",15,204,3,2025-01-16 19:59:46.764,"['Looking forward to a great week and an insightful conversation with May Habib, Daniel Newman, Christina Crawford Kosmowski, Michael Römer, Bharat Kapoor next Tuesday!', 'Look forward to hosting you May Habib']"
getwriter,"From a chance Twitter connection to a $1.9 billion valuation, the story of May Habib and Waseem Alshikh, the founders of Writer, is a testament to focused innovation and the power of language technology. Starting with a shared passion for machine translation, they transformed their vision into an enterprise AI powerhouse.

Under their leadership, Writer has not only secured $200 million in Series C funding but also developed cutting-edge AI models like Palmyra and tools like AI Studio that redefine how businesses approach AI-driven solutions. With over 250 enterprise customers, including T-Mobile and Uber, Writer continues to set benchmarks in AI adoption, privacy, and performance.

This journey highlights the impact of building purposeful solutions tailored to customer needs, proving that success in AI isn’t about scale—it’s about strategy.

Read more here: https://lnkd.in/gTQ8Wp7P",8,191,4,2025-01-15 20:06:05.610,"['May is such an icon!', 'I love the growth story.  ', 'Thank you so much!', 'You hold long May Habib & team this is not just another 11x what is quoted here is just the tip of the iceberg … legacy is in the making! So proud of you & the team! Go old scholl HP style share with the people but never give up control since the social morale that is laid within your DNA is way too important to simply sell out. You are not just here to stay, you will not shake…. - you will shape!']"
getwriter,"Thanks for including me in your CES roundup for Ad Age, Asa Hiken. 

Some great quotes from Alicia Tillman, Drew Panayiotou, Jill Kramer, Mark Weinstein, Don McGuire and Emily Ketchen.

Please read the article to learn more, but my biggest takeaway was that 2025 will be the year of operationalizing AI.",1,29,1,2025-01-14 22:53:06.752,['Link: https://adage.com/article/special-report-ces/ces-2025-cmos-favorite-tech-takeaways/2598316']
getwriter,"As demand for enterprise AI grows, scaling language models face challenges: diminishing returns, limited public data, high energy needs, and chip constraints. At Writer, we believe the future lies in precision training and architectural innovation.

When we announced that our Palmyra x 004 model topped the tool calling leaderboards built on purely synthetic data, we realized there were a lot of myths surrounding synthetic data.

Misconceptions hinder adoption. Our Co-Founder and CTO Waseem Alshikh shares the facts and debunks these four prevalent myths:⁠

❌ Poor quality: Synthetic data isn't inferior — it can match or even surpass real data when generated correctly.

❌ ""Fake"" or hallucinated data: Synthetic data isn't fabricated — it's meticulously crafted off real data to mirror real-world scenarios.

❌ Can’t exclusively train on synthetic data: With the right bias and accuracy mitigation strategies, models can be trained solely on synthetic data, achieving remarkable performance and efficiency.

❌ Significant risks and ethical concerns: Synthetic data poses no more risks than real data and offers greater control and privacy.

Armed with facts, leaders can confidently embrace synthetic data to drive their AI initiatives forward.

💡 Learn more here: https://ow.ly/jV0g50UG6k6",2,43,0,2025-01-14 16:10:16.885,[]
getwriter,"Fresh for 2025, check out our updated guide for retail and consumer goods — now with the latest real-world use cases and success stories from global brands! ✨

Here’s what you’ll take away from the guide:

🛠️ Practical AI Applications: Learn how custom Writer solutions can make the entire product lifecycle more efficient, from development to customer support.
🚀 Real-world success stories: See how Adore Me saved 35 hours per person/month and how a global brand saved $500K annually.
📈 Tailored Solutions: Find the generative AI use cases that will drive adoption and ROI across your organization.

Just in time for #NRF25, download your free guide today! https://hubs.ly/Q032nksr0",0,11,1,2025-01-13 21:54:17.684,['FYI Lamine Lahouasnia']
